step,loss_ce,loss_total,loss_objective_tag,iter_time_sec,tokens_per_sec,global_tokens_per_sec,cuda_memory_allocated_bytes,cuda_peak_memory_allocated_bytes,cuda_peak_memory_reserved_bytes,local_expert_param_numel,global_expert_param_numel_est,expert_partition_ratio,use_grouped_mm
5,12.345439910888672,12.345439910888672,ce_only,0.7565515041351318,338.37749128878136,676.7549825775627,13171120128,17604670976,22525509632,519045120,1038090240,2.0,True
6,12.32773208618164,12.32773208618164,ce_only,0.7204031944274902,355.3565586330376,710.7131172660752,13171120128,17604670976,22525509632,519045120,1038090240,2.0,True
7,12.340241432189941,12.340241432189941,ce_only,0.7170219421386719,357.03230955028386,714.0646191005677,13171120128,17604670976,22525509632,519045120,1038090240,2.0,True
8,12.302396774291992,12.302396774291992,ce_only,0.7314748764038086,349.9778437484925,699.955687496985,13171120128,17604670976,22525509632,519045120,1038090240,2.0,True
9,12.376113891601562,12.376113891601562,ce_only,0.732835054397583,349.32826761465617,698.6565352293123,13171120128,17604670976,22525509632,519045120,1038090240,2.0,True
